id,gel_num,gel_name,gel_hex,manufacturer_id
210,R72,Azure Blue,#01A9DA,2
211,R73,Peacock Blue,#008FAA,2
212,R74,Night Blue,#004E8C,2
213,R75,Twilight Blue NEW!,#0070B3,2
214,R76,Light Green Blue,#005373,2
215,R77,Green Blue,#005886,2
216,R78,Trudy Blue,#0176C3,2
217,R79,Bright Blue,#0061A6,2
218,R80,Primary Blue,#0164A7,2
219,R81,Urban Blue,#006DB2,2
220,R82,Surprise Blue,#005192,2
221,R83,Medium Blue,#014783,2
222,R84,Zephyr Blue,#0063A6,2
223,R85,Deep Blue,#003E71,2
224,R86,Pea Green,#81AE39,2
225,R87,Pale Yellow Green,#D1DBB6,2
226,R88,Light Green ,#A1D48D,2
227,R89,Moss Green,#2AA555,2
228,R90,Dark Yellow Green,#004A27,2
229,R91,Primary Green,#002E23,2
230,R92,Turquoise,#00B4AB,2
231,R93,Blue Green,#007F85,2
232,R94,Kelly Green,#01725E,2
233,R95,Medium Green,#005A65,2
234,R96,Lime,#FFFF66,2
235,R97,Light Grey,#B6B3AE,2
236,R98,Medium Grey,#5D5352,2
237,R99,Chocolate,#A77763,2
238,R100,Frost,#000000,2
239,R101,Light Frost,#000000,2
240,R102,Light Tough Frost,#000000,2
241,R103,Tough Frost,#000000,2
242,R104,Tough Silk,#000000,2
243,R105,Tough Spun,#000000,2
244,R106,Light Tough Spun,#000000,2
245,R111,Tough Rolux,#000000,2
246,R112,Opal Tough Frost,#000000,2
247,R113,Matte Silk ,#000000,2
248,R114,Hamburg Frost,#000000,2
249,R115,Light Tough Rolux,#000000,2
250,R116,Tough White Diffusion,#000000,2
251,R117,Tough 1/2 White Diffusion,#000000,2
252,R118,Tough 1/4 White Diffusion,#000000,2
253,R119,Light Hamburg Frost,#000000,2
254,R120,Red Diffusion,#C42627,2
255,R121,Blue Diffusion,#4E2DBA,2
256,R122,Green Diffusion,#314C2D,2
257,R124,Red Cyc Silk,#BD353F,2
258,R125,Blue Cyc Silk,#644AB5,2
259,R126,Green Cyc Silk,#465744,2
260,R127,Amber Cyc Silk,#FA1114,2
261,R132,Quarter Hamburg Frost,#000000,2
262,R140,Subtle Hamburg Frost,#000000,2
263,R160,Light Tough Silk,#000000,2
264,R162,Light Opal,#000000,2
265,R163,Powder Frost,#000000,2
266,R303,Warm Peach,#FFAB76,2
267,R304,Pale Apricot,#FFBDA9,2
268,R305,Rose Gold,#F8BBAE,2
269,R310,Daffodil,#FEFB34,2
270,R312,Canary,#FFBD00,2
271,R313,Light Relief Yellow,#FFD93B,2
272,R316,Gallo Gold,#FFA562,2
273,R317,Apricot,#FF8F56,2
274,R318,Mayan Sun,#FF7A52,2
275,R321,Soft Golden Amber,#EF7F35,2
276,R324,Gypsy Red,#F95081,2
277,R331,Shell Pink,#FFBBB8,2
278,R332,Cherry Rose,#FB6980,2
279,R333,Blush Pink,#EACCDE,2
280,R336,Billinton Pink,#D285B5,2
281,R337,True Pink,#E5A5CB,2
282,R339,Broadway Pink,#E00561,2
283,R342,Rose Pink,#B80D41,2
284,R343,Neon Pink,#E4498E,2
285,R344,Follies Pink,#AF4DAD,2
286,R346,Tropical Magenta,#9C1F91,2
287,R347,Belladonna Rose,#460475,2
288,R348,Purple Jazz,#8448B4,2
289,R349,Fischer Fuchsia,#89028C,2
290,R351,Lavender Mist,#B8BAD7,2
291,R353,Lilly Lavender,#6992DB,2
292,R355,Pale Violet,#006CBD,2
293,R356,Middle Lavender,#712EBB,2
294,R357,Royal Lavender,#004697,2
295,R358,Rose Indigo,#6101A3,2
296,R359,Medium Violet,#0052A1,2
297,R360,Clearwater,#91B9D9,2
298,R362,Tipton Blue,#3494D1,2
299,R363,Aquamarine,#70D2EF,2
300,R364,Blue Bell,#0086CD,2
301,R365,Tharon Delft Blue,#4899D1,2
302,R366,Jordan Blue,#00ABEE,2
303,R367,Slate Blue,#008DD0,2
304,R369,Tahitian Blue ,#009CEA,2
305,R370,Italian Blue,#0099AF,2
306,R371,Theatre Booster 1,#4AA4E2,2
307,R372,Theatre Booster 2,#9CC7E7,2
308,R373,Theatre Booster 3,#CEE0EE,2
309,R374,Sea Green,#00A3BF,2
310,R376,Bermuda Blue,#007498,2
311,R377,Iris Purple,#0048C8,2
312,R378,Alice Blue,#005FAB,2
313,R382,Congo Blue,#002856,2
314,R383,Sapphire Blue,#00427D,2
315,R384,Midnight Blue,#0027A5,2
316,R385,Royal Blue,#003468,2
317,R386,Leaf Green,#73BD68,2
318,R388,Gaslight Green,#C3D575,2
319,R389,Chroma Green,#05C069,2
320,R392,Pacific Green ,#009AAC,2
321,R393,Emerald Green,#007F82,2
322,R395,Teal Green,#006666,2
323,R397,Pale Grey,#D1CFC9,2
324,R398,Neutral Grey,#A7ACAD,2
325,R2002,Storaro Orange,#D57228,2
326,R2003,Storaro Yellow,#FFC000,2
327,R2004,Storaro Green,#007540,2
328,R2007,VS Blue,#182196,2
329,R2008,Storaro Indigo,#350F83,2
330,R2009,Storaro Violet,#46136D,2
331,R3202,Full Blue,#7898D0,2
332,R3203,Three Quarter Blue,#8EA8D4,2
333,R3204,Half Blue ,#A7BBDA,2
334,R3206,Third Blue,#B6C2DD,2
335,R3208,Quarter Blue,#C3CADA,2
336,R3216,Eighth Blue,#DBDDE2,2
337,R3220,Double Blue,#4056B8,2
338,R3304,Tough Plusgreen,#BCE396,2
339,R3308,Tough Minusgreen,#E2B3D8,2
340,R3313,Tough 1/2 Minusgreen,#E3C7DC,2
341,R3314,Tough 1/4 Minusgreen,#E7D9E1,2
342,R3315,Tough 1/2 Plusgreen,#D2E6BE,2
343,R3316,Tough 1/4 Plusgreen,#E1E8D4,2
344,R3317,Tough 1/8 Plusgreen,#E7EADA,2
345,R3318,Tough 1/8 Minusgreen,#E5DEE0,2
346,R3405,Roscosun 85N.3,#C38C57,2
347,R3406,Roscosun 85N.6,#98663A,2
348,R3407,Roscosun CTO,#DFA45C,2
349,R3408,Roscosun 1/2 CTO,#E8CA9A,2
350,R3409,Roscosun 1/4 CTO,#ECDEC5,2
351,R3410,Roscosun 1/8 CTO,#EAE5D6,2
352,R3411,Roscosun 3/4 CTO,#EBB676,2
353,R3441,Full Straw CTS,#FFB970,2
354,R3442,Half Straw 1/2 CTS,#FCD29F,2
355,R3443,Quarter Straw 1/4 CTS,#F4E3C9,2
356,R3444,Eighth Straw 1/8 CTS,#F1E6D9,2
357,R4215,CalColor 15 Blue,#B5C2DE,2
358,R4230,CalColor 30 Blue,#8EA3D9,2
359,R4260,CalColor 60 Blue,#6372C9,2
360,R4290,CalColor 90 Blue,#4743BD,2
361,R4315,CalColor 15 Cyan,#C7E3DE,2
362,R4330,CalColor 30 Cyan,#ABE2E2,2
363,R4360,CalColor 60 Cyan,#66D2D0,2
364,R4390,CalColor 90 Cyan,#00C4C4,2
365,R4415,CalColor 15 Green,#C7E6B6,2
366,R4430,CalColor 30 Green,#9FDC83,2
367,R4460,CalColor 60 Green,#65C63D,2
368,R4490,CalColor 90 Green,#31A300,2
369,R4515,CalColor 15 Yellow,#EEF1BF,2
370,R4530,CalColor 30 Yellow,#E7EE97,2
371,R4560,CalColor 60 Yellow,#E6EC4B,2
372,R4590,CalColor 90 Yellow,#E9E500,2
373,R4615,CalColor 15 Red,#E6CBC5,2
374,R4630,CalColor 30 Red,#E3AF9F,2
375,R4660,CalColor 60 Red,#DA8366,2
376,R4690,CalColor 90 Red,#CF573B,2
377,R4715,CalColor 15 Magenta,#E0C3DF,2
378,R4730,CalColor 30 Magenta,#D79ED8,2
379,R4760,CalColor 60 Magenta,#BE59C2,2
380,R4790,CalColor 90 Magenta,#B63EB9,2
381,R4815,CalColor 15 Pink,#E6C6D3,2
382,R4830,CalColor 30 Pink,#E2A4BD,2
383,R4860,CalColor 60 Pink,#DB7EA0,2
384,R4890,CalColor 90 Pink,#D3587F,2
385,R4915,CalColor 15 Lavender,#C4B9DC,2
386,R4930,CalColor 30 Lavender,#B299D2,2
387,R4960,CalColor 60 Lavender,#8F60C0,2
388,R4990,CalColor 90 Lavender,#6E39AF,2
389,L48,Rose Purple,#E66EAF,3
390,L797,Deep Purple,#AF0096,3
391,L49,Medium Purple,#BE0091,3
392,L126,Mauve,#BE009B,3
393,L798,Chrysalis Pink,#A000BE,3
394,L701,Provence,#B45ADC,3
395,L345,Fuchsia Pink,#CD6ED7,3
396,L703,Cold Lavender,#D282DC,3
397,L52,Light Lavender,#E6AAFA,3
398,L704,Lily,#F0AAFA,3
399,L170,Deep Lavender,#E6AADC,3
